Bias,Data Trace Real_A,Data Trace Real_B
-2.80000e+00,6.758310e-11,2.469279e-07
-2.76200e+00,7.612098e-11,6.189526e-07
-2.72500e+00,6.769586e-11,1.913762e-07
-2.68700e+00,7.945684e-11,9.855567e-08
-2.65000e+00,8.290549e-11,3.151765e-07
-2.61200e+00,8.298949e-11,2.587604e-07
-2.57500e+00,7.816549e-11,-4.616970e-08
-2.53700e+00,8.248125e-11,-4.095801e-07
-2.50000e+00,7.468830e-11,3.969926e-07
-2.46200e+00,8.259753e-11,-4.766398e-07
-2.42500e+00,8.071391e-11,3.450472e-07
-2.38700e+00,8.162548e-11,-1.502136e-07
-2.35000e+00,8.161321e-11,-1.377914e-07
-2.31200e+00,7.975941e-11,2.301625e-07
-2.27500e+00,8.002086e-11,1.078113e-08
-2.23700e+00,7.508096e-11,2.282789e-07
-2.20000e+00,7.691588e-11,7.026266e-07
-2.16200e+00,8.033963e-11,-8.504874e-08
-2.12500e+00,8.377075e-11,-4.790274e-08
-2.08700e+00,8.869738e-11,2.197428e-07
-2.05000e+00,8.840694e-11,-2.655844e-07
-2.01200e+00,9.069096e-11,-1.487078e-07
-1.97500e+00,8.445767e-11,4.093487e-07
-1.93700e+00,8.349665e-11,4.320616e-07
-1.90000e+00,8.748164e-11,5.039504e-08
-1.86200e+00,8.118962e-11,-3.971056e-08
-1.82500e+00,8.995405e-11,-8.334811e-08
-1.78700e+00,8.289032e-11,5.270655e-07
-1.75000e+00,9.316185e-11,-4.331051e-08
-1.71200e+00,9.320620e-11,2.134053e-07
-1.67500e+00,8.680987e-11,3.129065e-07
-1.63700e+00,9.021295e-11,2.264099e-07
-1.60000e+00,9.225859e-11,-2.741509e-07
-1.56200e+00,9.302924e-11,-1.550991e-07
-1.52500e+00,9.268193e-11,-1.134159e-07
-1.48700e+00,9.611214e-11,-1.191260e-07
-1.45000e+00,8.718140e-11,-1.185332e-07
-1.41200e+00,9.643175e-11,3.718929e-07
-1.37500e+00,9.337547e-11,2.754124e-07
-1.33700e+00,1.030414e-10,-2.220649e-07
-1.30000e+00,9.903044e-11,2.204768e-07
-1.26200e+00,9.739520e-11,1.525554e-07
-1.22500e+00,9.876452e-11,3.346607e-07
-1.18700e+00,1.010140e-10,1.442184e-08
-1.15000e+00,9.670804e-11,2.144204e-07
-1.11200e+00,1.071937e-10,-2.131521e-08
-1.07500e+00,1.022773e-10,2.863665e-07
-1.03700e+00,9.880059e-11,9.182525e-09
-1.00000e+00,1.061840e-10,1.005395e-07
-9.62000e-01,1.095089e-10,-6.638206e-08
-9.25000e-01,1.149617e-10,2.460122e-07
-8.87000e-01,1.143664e-10,3.219901e-07
-8.50000e-01,1.181902e-10,3.859309e-07
-8.12000e-01,1.149767e-10,2.763111e-07
-7.75000e-01,1.178531e-10,2.682592e-07
-7.37000e-01,1.211572e-10,1.396280e-07
-7.00000e-01,1.216637e-10,-4.245881e-09
-6.62000e-01,1.208802e-10,-6.662085e-08
-6.25000e-01,1.298685e-10,7.133850e-08
-5.87000e-01,1.215751e-10,-7.159515e-08
-5.50000e-01,1.271998e-10,1.364512e-07
-5.12000e-01,1.292353e-10,-2.048972e-08
-4.75000e-01,1.317239e-10,2.306311e-07
-4.37000e-01,1.287468e-10,3.805847e-07
-4.00000e-01,1.400562e-10,1.046747e-07
-3.62000e-01,1.435120e-10,5.461954e-07
-3.25000e-01,1.434464e-10,3.466170e-07
-2.87000e-01,1.484821e-10,3.083996e-07
-2.50000e-01,1.459173e-10,-2.594325e-07
-2.12000e-01,1.525390e-10,2.308827e-07
-1.75000e-01,1.650154e-10,2.174636e-07
-1.37000e-01,1.681886e-10,5.410369e-07
-1.00000e-01,1.737306e-10,3.792829e-07
-6.20000e-02,1.876918e-10,1.153025e-06
-2.50000e-02,2.004123e-10,7.758018e-07
1.30000e-02,2.136289e-10,1.266103e-06
5.00000e-02,2.393877e-10,2.418310e-06
8.80000e-02,2.992879e-10,6.886542e-06
1.25000e-01,4.353312e-10,1.846498e-05
1.63000e-01,7.660832e-10,5.141734e-05
2.00000e-01,1.366545e-09,1.153920e-04
2.38000e-01,2.179370e-09,2.184482e-04
2.75000e-01,2.892894e-09,3.424083e-04
3.13000e-01,3.431349e-09,4.795492e-04
3.50000e-01,3.771523e-09,6.064217e-04
3.88000e-01,4.015056e-09,7.227713e-04
4.25000e-01,4.189921e-09,8.283029e-04
4.63000e-01,4.380670e-09,9.250744e-04
5.00000e-01,4.574484e-09,1.008834e-03
5.38000e-01,4.769065e-09,1.091112e-03
5.75000e-01,4.964394e-09,1.163525e-03
6.13000e-01,5.131027e-09,1.234149e-03
6.50000e-01,5.260850e-09,1.295298e-03
6.88000e-01,5.417981e-09,1.351388e-03
7.25000e-01,5.594509e-09,1.403430e-03
7.63000e-01,5.724755e-09,1.451027e-03
8.00000e-01,5.853161e-09,1.494394e-03
8.38000e-01,5.933241e-09,1.529397e-03
8.75000e-01,6.034305e-09,1.555806e-03
9.13000e-01,6.065338e-09,1.583927e-03
9.50000e-01,6.176199e-09,1.604524e-03
9.88000e-01,6.197819e-09,1.622208e-03
1.02500e+00,6.243004e-09,1.633099e-03
1.06300e+00,6.295794e-09,1.638433e-03
1.10000e+00,6.257125e-09,1.643666e-03
1.13800e+00,6.276920e-09,1.643165e-03
1.17500e+00,6.375912e-09,1.640472e-03
1.21300e+00,6.338758e-09,1.634985e-03
1.25000e+00,6.367603e-09,1.625643e-03
1.28800e+00,6.367448e-09,1.623030e-03
1.32500e+00,6.449789e-09,1.614259e-03
1.36300e+00,6.484564e-09,1.606130e-03
1.40000e+00,6.511987e-09,1.600193e-03
1.43800e+00,6.575505e-09,1.596776e-03
1.47500e+00,6.644255e-09,1.590078e-03
1.51300e+00,6.692827e-09,1.588461e-03
1.55000e+00,6.814431e-09,1.587932e-03
1.58800e+00,6.875234e-09,1.596672e-03
1.62500e+00,6.888798e-09,1.604305e-03
1.66300e+00,7.019806e-09,1.608218e-03
1.70000e+00,7.004543e-09,1.620490e-03
1.73800e+00,7.141792e-09,1.637997e-03
1.77500e+00,7.140068e-09,1.654213e-03
1.81300e+00,7.228740e-09,1.677411e-03
1.85000e+00,7.216872e-09,1.697655e-03
1.88800e+00,7.214828e-09,1.717854e-03
1.92500e+00,7.324322e-09,1.735012e-03
1.96300e+00,7.336351e-09,1.751666e-03
2.00000e+00,7.344416e-09,1.763380e-03
2.03800e+00,7.323725e-09,1.780821e-03
2.07500e+00,7.392240e-09,1.795507e-03
2.11300e+00,7.476415e-09,1.808151e-03
2.15000e+00,7.535179e-09,1.815831e-03
2.18800e+00,7.563568e-09,1.822123e-03
2.22500e+00,7.713481e-09,1.834909e-03
2.26300e+00,7.744044e-09,1.833430e-03
2.30000e+00,7.788831e-09,1.840893e-03
2.33800e+00,7.900615e-09,1.838237e-03
2.37500e+00,7.990781e-09,1.836644e-03
2.41300e+00,8.020842e-09,1.836335e-03
2.45000e+00,8.032369e-09,1.828836e-03
2.48800e+00,8.171096e-09,1.819699e-03
2.52500e+00,8.184947e-09,1.810676e-03
2.56300e+00,8.127763e-09,1.792928e-03
2.60000e+00,8.079780e-09,1.784342e-03
2.63800e+00,8.130030e-09,1.769059e-03
2.67500e+00,8.019312e-09,1.753083e-03
2.71300e+00,7.844880e-09,1.739224e-03
2.75000e+00,7.787851e-09,1.718864e-03
2.78800e+00,7.772897e-09,1.698904e-03
2.82500e+00,7.630978e-09,1.689095e-03
2.86300e+00,7.532647e-09,1.671634e-03
2.90000e+00,7.315723e-09,1.662696e-03
2.93800e+00,7.262859e-09,1.642815e-03
2.97500e+00,7.002608e-09,1.624482e-03
3.01300e+00,6.956227e-09,1.614985e-03
3.05000e+00,6.811156e-09,1.608984e-03
3.08800e+00,6.470971e-09,1.589663e-03
3.12500e+00,6.397575e-09,1.580085e-03
3.16300e+00,6.306811e-09,1.570356e-03
3.20000e+00,6.024874e-09,1.561035e-03
3.23800e+00,5.965207e-09,1.547977e-03
3.27500e+00,5.886590e-09,1.537421e-03
3.31300e+00,5.519468e-09,1.531898e-03
3.35000e+00,5.400226e-09,1.518065e-03
3.38800e+00,5.366374e-09,1.506793e-03
3.42500e+00,5.083933e-09,1.497817e-03
3.46300e+00,4.933756e-09,1.497288e-03
3.50000e+00,4.689091e-09,1.486945e-03
3.53800e+00,4.525676e-09,1.476394e-03
3.57500e+00,4.460665e-09,1.470789e-03
3.61300e+00,4.218515e-09,1.471619e-03
3.65000e+00,3.981785e-09,1.466297e-03
3.68800e+00,3.762232e-09,1.473422e-03
3.72500e+00,3.629439e-09,1.445149e-03
3.76300e+00,3.414815e-09,1.441635e-03
