Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_100K,Conductivity_100K,Capacity_1M,Conductivity_1M
-1.74000e+00,4.869917e-10,2.407344e-07,4.936100e-10,-6.677075e-08,4.923871e-10,1.316972e-06,5.601927e-10,1.096058e-04
-1.72500e+00,4.740127e-10,4.348520e-08,5.015828e-10,1.309943e-07,4.933520e-10,1.568421e-06,5.614290e-10,1.125924e-04
-1.71000e+00,4.850384e-10,3.594035e-07,4.967310e-10,8.715143e-08,4.953385e-10,1.826646e-06,5.621174e-10,1.175767e-04
-1.69500e+00,5.122005e-10,3.229329e-09,4.979119e-10,2.815107e-07,4.957976e-10,1.568568e-06,5.632456e-10,1.165749e-04
-1.68000e+00,4.906884e-10,2.196907e-07,5.001084e-10,7.720869e-07,4.965244e-10,1.524249e-06,5.641270e-10,1.147075e-04
-1.66500e+00,5.093442e-10,-8.425764e-08,4.963864e-10,-3.432719e-07,4.963653e-10,7.536097e-07,5.658999e-10,1.199322e-04
-1.65000e+00,5.129979e-10,-1.341783e-07,5.007749e-10,3.369098e-07,4.988482e-10,1.931799e-06,5.677728e-10,1.164469e-04
-1.63500e+00,4.875482e-10,3.715438e-08,5.046462e-10,-1.336304e-07,5.002526e-10,2.240836e-06,5.691571e-10,1.188053e-04
-1.62000e+00,4.622070e-10,-3.318776e-08,5.050465e-10,-5.377106e-08,5.007308e-10,1.581443e-06,5.702901e-10,1.207880e-04
-1.60500e+00,4.941296e-10,1.461483e-07,5.043211e-10,1.737042e-07,5.018946e-10,1.531852e-06,5.711507e-10,1.215131e-04
-1.59000e+00,5.386867e-10,-1.886797e-07,5.061434e-10,3.363720e-07,5.031577e-10,1.660455e-06,5.728789e-10,1.205267e-04
-1.57500e+00,4.971739e-10,-1.476072e-07,5.083288e-10,-5.790807e-08,5.041664e-10,1.440686e-06,5.740183e-10,1.236172e-04
-1.56000e+00,5.034469e-10,-2.817597e-07,5.063937e-10,4.265670e-07,5.059704e-10,2.008939e-06,5.755724e-10,1.203169e-04
-1.54500e+00,5.068135e-10,-1.837446e-07,5.096022e-10,-4.894268e-07,5.067071e-10,1.833125e-06,5.777258e-10,1.211100e-04
-1.53000e+00,5.095632e-10,5.683950e-08,5.132471e-10,-4.506755e-08,5.070451e-10,2.553039e-06,5.787429e-10,1.235375e-04
-1.51500e+00,5.206921e-10,-2.043475e-07,5.048334e-10,3.971852e-07,5.082461e-10,1.950244e-06,5.801580e-10,1.221317e-04
-1.50000e+00,5.839343e-10,1.899889e-07,5.138888e-10,8.948837e-08,5.088515e-10,2.300784e-06,5.824079e-10,1.232992e-04
-1.48500e+00,4.850239e-10,-6.832136e-08,5.122307e-10,2.757617e-07,5.101718e-10,2.278566e-06,5.822010e-10,1.211604e-04
-1.47000e+00,4.829287e-10,-1.278492e-08,5.177042e-10,-4.168269e-08,5.117440e-10,1.935033e-06,5.840977e-10,1.252323e-04
-1.45500e+00,5.029923e-10,3.286861e-08,5.246103e-10,2.946044e-07,5.132675e-10,1.622491e-06,5.868135e-10,1.218699e-04
