"Bias, V",Current_300K,Current_250K_1,Current_250K_2,Current_200K_1,Current_200K_2,Current_150K_1,Current_150K_2,Current_100K,Current_50K,Current_100K_h,Current_200K_h
"3,50E-01","6,05E-06","1,04E-09","1,20E-06","3,16E-07","2,81E-07","5,82E-08","4,28E-08","3,20E-09","1,70E-10","2,94E-09","9,88E-08"
"4,00E-01","1,09E-05","1,22E-09","2,71E-06","9,33E-07","8,03E-07","2,23E-07","1,90E-07","2,62E-08","3,05E-09","1,70E-08","3,13E-07"
"4,50E-01","1,78E-05","1,26E-09","5,36E-06","2,14E-06","1,92E-06","6,58E-07","5,42E-07","1,08E-07","2,79E-08","7,13E-08","8,37E-07"
"5,00E-01","2,89E-05","1,65E-09","1,03E-05","4,72E-06","4,27E-06","1,78E-06","1,53E-06","3,29E-07","1,57E-07","2,57E-07","2,08E-06"
"5,50E-01","4,51E-05","1,82E-09","1,84E-05","9,43E-06","8,64E-06","4,14E-06","3,69E-06","1,08E-06","3,78E-07","8,63E-07","4,52E-06"
"6,00E-01","6,85E-05","2,18E-09","3,13E-05","1,74E-05","1,63E-05","8,51E-06","7,98E-06","2,89E-06","1,21E-06","2,28E-06","9,15E-06"
"6,50E-01","9,84E-05","2,27E-09","4,94E-05","2,92E-05","2,74E-05","1,55E-05","1,49E-05","6,19E-06","2,96E-06","5,03E-06","1,63E-05"
"7,00E-01","1,41E-04","2,63E-09","7,73E-05","4,81E-05","4,57E-05","2,72E-05","2,77E-05","1,29E-05","6,66E-06","1,03E-05","2,87E-05"
"7,50E-01","1,94E-04","2,56E-09","1,17E-04","7,60E-05","7,30E-05","4,52E-05","4,95E-05","2,45E-05","1,32E-05","2,01E-05","4,77E-05"
"8,00E-01","2,49E-04","3,21E-09","1,64E-04","1,13E-04","1,09E-04","6,94E-05","8,39E-05","4,38E-05","2,40E-05","3,57E-05","7,30E-05"
"8,50E-01","3,17E-04","3,49E-09","2,27E-04","1,65E-04","1,60E-04","1,06E-04","1,51E-04","8,15E-05","4,70E-05","6,71E-05","1,09E-04"
"9,00E-01","3,93E-04","3,96E-09","3,01E-04","2,40E-04","2,30E-04","1,58E-04","2,85E-04","1,56E-04","9,17E-05","1,28E-04","1,56E-04"
"9,50E-01","4,74E-04","3,96E-09","3,85E-04","3,24E-04","3,12E-04","5,56E-04","5,27E-04","2,97E-04","1,74E-04","2,48E-04","2,04E-04"
"1,00E+00","5,51E-04","3,45E-09","4,69E-04","4,15E-04","3,99E-04","9,38E-04","9,11E-04","5,38E-04","3,02E-04","4,56E-04","2,61E-04"
"1,05E+00","6,35E-04","3,54E-09","5,65E-04","5,20E-04","5,02E-04","1,56E-03","1,54E-03","9,69E-04","5,06E-04","8,35E-04","3,29E-04"
"1,10E+00","7,21E-04","4,71E-09","6,64E-04","6,33E-04","6,12E-04","2,40E-03","2,42E-03","1,64E-03","7,99E-04","1,42E-03","4,00E-04"
"1,15E+00","7,98E-04","4,53E-09","7,59E-04","7,45E-04","7,18E-04","3,40E-03","3,46E-03","2,49E-03","1,15E-03","2,18E-03","4,68E-04"
"1,20E+00","8,80E-04","6,28E-09","8,63E-04","8,65E-04","8,36E-04","4,69E-03","4,83E-03","3,70E-03","1,64E-03","3,28E-03","5,41E-04"
"1,25E+00","9,57E-04","5,88E-09","9,66E-04","9,89E-04","9,54E-04","6,15E-03","6,40E-03","5,19E-03","2,23E-03","4,61E-03","6,17E-04"
"1,30E+00","1,03E-03","4,03E-08","1,07E-03","1,11E-03","1,07E-03","7,79E-03","8,17E-03","6,94E-03","2,93E-03","6,17E-03","6,90E-04"
"1,35E+00","1,10E-03","7,10E-08","1,16E-03","1,23E-03","1,19E-03","9,44E-03","9,96E-03","8,76E-03","3,69E-03","7,80E-03","7,59E-04"
"1,40E+00","1,16E-03","1,07E-07","1,26E-03","1,36E-03","1,31E-03","1,08E-02","1,08E-02","1,07E-02","4,62E-03","9,72E-03","8,32E-04"
"1,45E+00","1,22E-03","7,66E-09","1,36E-03","1,48E-03","1,42E-03","1,09E-02","1,10E-02","1,09E-02","5,69E-03","1,08E-02","9,04E-04"
"1,50E+00","1,28E-03","7,20E-09","1,44E-03","1,60E-03","1,53E-03","1,10E-02","1,10E-02","1,10E-02","6,84E-03","1,10E-02","9,72E-04"
"1,55E+00","1,33E-03","7,40E-08","1,53E-03","1,72E-03","1,65E-03","1,11E-02","1,11E-02","1,11E-02","8,23E-03","1,10E-02","1,04E-03"
"1,60E+00","1,38E-03","1,06E-07","1,62E-03","1,84E-03","1,76E-03","1,11E-02","1,11E-02","1,11E-02","9,80E-03","1,11E-02","1,11E-03"
"1,65E+00","1,43E-03","7,90E-09","1,70E-03","1,96E-03","1,87E-03","1,11E-02","1,11E-02","1,11E-02","1,08E-02","1,11E-02","1,17E-03"
"1,70E+00","1,48E-03","5,75E-08","1,77E-03","2,06E-03","1,97E-03","1,12E-02","1,12E-02","1,12E-02","1,10E-02","1,11E-02","1,23E-03"
"1,75E+00","1,52E-03","2,73E-08","1,85E-03","2,13E-03","2,08E-03","1,12E-02","1,12E-02","1,12E-02","1,11E-02","1,12E-02","1,27E-03"
"1,80E+00","1,56E-03","9,56E-09","1,91E-03","2,20E-03","2,17E-03","1,12E-02","1,12E-02","1,12E-02","1,11E-02","1,12E-02","1,32E-03"
"1,85E+00","1,60E-03","1,00E-07","1,98E-03","2,30E-03","2,27E-03","1,12E-02","1,12E-02","1,12E-02","1,11E-02","1,12E-02","1,38E-03"
"1,90E+00","1,63E-03","6,58E-09","2,04E-03","2,38E-03","2,33E-03","1,12E-02","1,12E-02","1,12E-02","1,12E-02","1,12E-02","1,42E-03"
"1,95E+00","1,66E-03","2,35E-03","2,10E-03","2,47E-03","2,42E-03","1,12E-02","1,13E-02","1,12E-02","1,12E-02","1,12E-02","1,48E-03"
"2,00E+00","1,70E-03","2,37E-03","2,14E-03","2,55E-03","2,49E-03","1,13E-02","1,13E-02","1,13E-02","1,12E-02","1,12E-02","1,52E-03"
"2,05E+00","1,73E-03","2,40E-03","2,20E-03","2,63E-03","2,54E-03","1,13E-02","1,13E-02","1,13E-02","1,12E-02","1,13E-02","1,56E-03"
"2,10E+00","1,76E-03","2,44E-03","2,25E-03","2,71E-03","2,61E-03","1,13E-02","1,13E-02","1,13E-02","1,12E-02","1,13E-02","1,59E-03"
"2,15E+00","1,79E-03","2,48E-03","2,29E-03","2,78E-03","2,68E-03","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,60E-03"
"2,20E+00","1,82E-03","2,52E-03","2,34E-03","2,84E-03","2,74E-03","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,63E-03"
"2,25E+00","1,85E-03","2,55E-03","2,37E-03","2,89E-03","2,79E-03","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,66E-03"
"2,30E+00","1,87E-03","2,59E-03","2,41E-03","2,96E-03","2,85E-03","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,66E-03"
"2,35E+00","1,90E-03","2,62E-03","2,45E-03","3,01E-03","2,90E-03","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,68E-03"
"2,40E+00","1,93E-03","2,65E-03","2,48E-03","3,06E-03","2,95E-03","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,71E-03"
"2,45E+00","1,96E-03","2,68E-03","2,52E-03","3,11E-03","3,01E-03","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,73E-03"
"2,50E+00","1,98E-03","2,70E-03","2,55E-03","3,16E-03","3,05E-03","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,77E-03"
"2,55E+00","2,00E-03","2,73E-03","2,58E-03","3,21E-03","3,10E-03","1,13E-02","1,14E-02","1,13E-02","1,13E-02","1,13E-02","1,80E-03"
"2,60E+00","2,03E-03","2,76E-03","2,61E-03","3,24E-03","3,14E-03","1,14E-02","1,14E-02","1,14E-02","1,13E-02","1,13E-02","1,84E-03"
"2,65E+00","2,05E-03","2,79E-03","2,64E-03","3,29E-03","3,18E-03","1,14E-02","1,14E-02","1,14E-02","1,13E-02","1,14E-02","1,86E-03"
"2,70E+00","2,08E-03","2,81E-03","2,67E-03","3,33E-03","3,22E-03","1,14E-02","1,14E-02","1,14E-02","1,13E-02","1,14E-02","1,89E-03"
"2,75E+00","2,10E-03","2,84E-03","2,70E-03","3,37E-03","3,26E-03","1,14E-02","1,14E-02","1,14E-02","1,14E-02","1,14E-02","1,92E-03"
"2,80E+00","2,11E-03","2,86E-03","2,73E-03","3,42E-03","3,30E-03","1,14E-02","1,14E-02","1,14E-02","1,14E-02","1,14E-02","1,95E-03"
"2,85E+00","2,14E-03","2,89E-03","2,76E-03","3,46E-03","3,33E-03","1,14E-02","1,14E-02","1,14E-02","1,14E-02","1,14E-02","1,97E-03"
"2,90E+00","2,16E-03","2,92E-03","2,79E-03","3,51E-03","3,37E-03","1,14E-02","1,14E-02","1,14E-02","1,14E-02","1,14E-02","2,01E-03"
"2,95E+00","2,18E-03","2,94E-03","2,81E-03","3,52E-03","3,40E-03","1,14E-02","1,14E-02","1,14E-02","1,14E-02","1,14E-02","2,03E-03"
"3,00E+00","2,20E-03","2,96E-03","2,85E-03","3,56E-03","3,44E-03","1,14E-02","1,14E-02","1,14E-02","1,14E-02","1,14E-02","2,07E-03"
