Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_100K,Conductivity_100K,Capacity_1M,Conductivity_1M
-1.90000e+00,5.101176e-10,6.975587e-07,5.036523e-10,6.680560e-07,4.705529e-10,5.244763e-05,1.122921e-10,1.309234e-03
-1.88000e+00,5.025180e-10,4.529483e-07,5.043573e-10,9.255811e-07,4.708897e-10,5.249088e-05,1.120865e-10,1.311242e-03
-1.86000e+00,5.080082e-10,1.255696e-06,5.029445e-10,4.418924e-07,4.720631e-10,5.271607e-05,1.120775e-10,1.313211e-03
-1.84000e+00,5.034000e-10,3.757670e-07,5.155647e-10,5.302406e-07,4.729546e-10,5.299076e-05,1.121436e-10,1.314615e-03
-1.82000e+00,5.076057e-10,5.416861e-07,5.088733e-10,9.359561e-07,4.741495e-10,5.362217e-05,1.120872e-10,1.315525e-03
-1.80000e+00,5.070258e-10,2.444475e-07,5.069414e-10,7.339486e-07,4.752492e-10,5.406250e-05,1.120037e-10,1.317493e-03
-1.78000e+00,5.081162e-10,5.079119e-07,5.149851e-10,8.298261e-07,4.755657e-10,5.370761e-05,1.122442e-10,1.320784e-03
-1.76000e+00,5.081308e-10,6.608622e-07,5.212027e-10,5.140551e-07,4.764131e-10,5.459534e-05,1.120402e-10,1.320604e-03
-1.74000e+00,5.165037e-10,8.078154e-07,5.189645e-10,7.143680e-07,4.770241e-10,5.432606e-05,1.113120e-10,1.321772e-03
-1.72000e+00,5.206164e-10,6.507823e-07,5.168708e-10,9.838282e-07,4.781542e-10,5.398354e-05,1.115061e-10,1.321757e-03
-1.70000e+00,5.163907e-10,1.022316e-06,5.174390e-10,4.419352e-07,4.796287e-10,5.484548e-05,1.113607e-10,1.323585e-03
-1.68000e+00,5.208945e-10,4.712004e-07,5.131742e-10,7.122029e-07,4.802825e-10,5.517255e-05,1.112126e-10,1.324060e-03
-1.66000e+00,5.224994e-10,7.805131e-07,5.254470e-10,6.551886e-07,4.807734e-10,5.517075e-05,1.112004e-10,1.325596e-03
-1.64000e+00,5.241821e-10,7.604207e-07,5.219793e-10,8.019064e-07,4.821676e-10,5.557420e-05,1.109643e-10,1.327105e-03
-1.62000e+00,5.208115e-10,8.933650e-07,5.297573e-10,1.769363e-07,4.825954e-10,5.553643e-05,1.107720e-10,1.327511e-03
-1.60000e+00,5.276714e-10,9.640971e-07,5.249061e-10,1.146763e-06,4.833751e-10,5.557331e-05,1.108771e-10,1.329412e-03
-1.58000e+00,5.289012e-10,8.054633e-07,5.304295e-10,6.105052e-07,4.852219e-10,5.599610e-05,1.106737e-10,1.331578e-03
-1.56000e+00,5.274530e-10,3.637290e-07,5.263845e-10,9.250806e-07,4.852705e-10,5.619819e-05,1.107857e-10,1.333029e-03
-1.54000e+00,5.310127e-10,6.468549e-07,5.300437e-10,4.837070e-07,4.865686e-10,5.675309e-05,1.106053e-10,1.334298e-03
-1.52000e+00,5.387690e-10,4.654416e-07,5.316543e-10,8.697297e-07,4.878646e-10,5.689594e-05,1.104194e-10,1.336294e-03
-1.50000e+00,5.327086e-10,1.248600e-06,5.377237e-10,4.907295e-07,4.884820e-10,5.708322e-05,1.104675e-10,1.336693e-03
-1.48000e+00,5.411678e-10,7.060073e-07,5.391413e-10,6.515148e-07,4.886503e-10,5.685195e-05,1.104878e-10,1.339558e-03
-1.46000e+00,5.382381e-10,1.084004e-06,5.342306e-10,9.980718e-07,4.900724e-10,5.715924e-05,1.102118e-10,1.340586e-03
-1.44000e+00,5.360105e-10,7.710913e-07,5.414361e-10,9.390248e-07,4.921486e-10,5.757504e-05,1.101281e-10,1.341703e-03
-1.42000e+00,5.434883e-10,6.861778e-07,5.383446e-10,6.992041e-07,4.930533e-10,5.763794e-05,1.099088e-10,1.342306e-03
