"Bias, V",Current_300K,Current_250K,Current_200K,Current_150K,Current_100K,Current_50K
"1,90E+00","1,12E-02","1,11E-02","1,11E-02","1,09E-02","8,99E-03","4,70E-03"
"1,95E+00","1,12E-02","1,12E-02","1,11E-02","1,10E-02","1,05E-02","5,55E-03"
"2,00E+00","1,12E-02","1,12E-02","1,11E-02","1,10E-02","1,09E-02","6,50E-03"
"2,05E+00","1,13E-02","1,12E-02","1,12E-02","1,11E-02","1,10E-02","7,48E-03"
"2,10E+00","1,13E-02","1,12E-02","1,12E-02","1,11E-02","1,10E-02","8,62E-03"
"2,15E+00","1,13E-02","1,12E-02","1,12E-02","1,11E-02","1,11E-02","9,85E-03"
"2,20E+00","1,13E-02","1,12E-02","1,12E-02","1,12E-02","1,11E-02","1,08E-02"
"2,25E+00","1,13E-02","1,13E-02","1,12E-02","1,12E-02","1,11E-02","1,09E-02"
"2,30E+00","1,13E-02","1,13E-02","1,12E-02","1,12E-02","1,12E-02","1,10E-02"
"2,35E+00","1,13E-02","1,13E-02","1,13E-02","1,12E-02","1,12E-02","1,11E-02"
"2,40E+00","1,13E-02","1,13E-02","1,13E-02","1,12E-02","1,12E-02","1,11E-02"
"2,45E+00","1,13E-02","1,13E-02","1,13E-02","1,12E-02","1,12E-02","1,11E-02"
"2,50E+00","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,12E-02","1,12E-02"
"2,55E+00","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,12E-02","1,12E-02"
"2,60E+00","1,14E-02","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,12E-02"
"2,65E+00","1,14E-02","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,12E-02"
"2,70E+00","1,14E-02","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,12E-02"
"2,75E+00","1,14E-02","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,12E-02"
"2,80E+00","1,14E-02","1,13E-02","1,13E-02","1,13E-02","1,13E-02","1,13E-02"
"2,85E+00","1,14E-02","1,14E-02","1,13E-02","1,13E-02","1,13E-02","1,13E-02"
"2,90E+00","1,14E-02","1,14E-02","1,13E-02","1,13E-02","1,13E-02","1,13E-02"
"2,95E+00","1,14E-02","1,14E-02","1,14E-02","1,13E-02","1,13E-02","1,13E-02"
"3,00E+00","1,14E-02","1,14E-02","1,14E-02","1,13E-02","1,13E-02","1,13E-02"
