Bias,Capacity_10K,Conductivity_10K,Capacity_1M,Conductivity_1M
-1.11000e+00,7.358186e-10,6.103595e-07,8.061138e-10,4.209501e-04
-1.09500e+00,7.303829e-10,2.788123e-07,8.086419e-10,4.233949e-04
-1.08000e+00,7.273402e-10,1.421910e-07,8.113709e-10,4.279971e-04
-1.06500e+00,7.433782e-10,-3.647071e-08,8.139406e-10,4.315739e-04
-1.05000e+00,7.406945e-10,-7.586915e-08,8.170906e-10,4.320758e-04
-1.03500e+00,7.439950e-10,4.349680e-07,8.197201e-10,4.369238e-04
-1.02000e+00,7.458700e-10,-1.544062e-07,8.222218e-10,4.392137e-04
-1.00500e+00,7.446188e-10,-5.012982e-08,8.247520e-10,4.421669e-04
-9.90000e-01,7.484754e-10,4.536710e-07,8.275708e-10,4.424722e-04
-9.75000e-01,7.458873e-10,5.201155e-07,8.306580e-10,4.478303e-04
-9.60000e-01,7.570068e-10,-1.257558e-07,8.336483e-10,4.490304e-04
-9.45000e-01,7.507044e-10,3.383963e-07,8.366506e-10,4.512759e-04
-9.30000e-01,7.581472e-10,2.802420e-07,8.389455e-10,4.547848e-04
-9.15000e-01,7.582716e-10,-2.002146e-07,8.415685e-10,4.589684e-04
-9.00000e-01,7.604603e-10,1.591597e-07,8.447115e-10,4.610024e-04
-8.85000e-01,7.618467e-10,-2.920186e-08,8.475572e-10,4.652814e-04
-8.70000e-01,7.614286e-10,2.929074e-07,8.509229e-10,4.697482e-04
-8.55000e-01,7.748703e-10,3.837561e-08,8.538709e-10,4.704231e-04
-8.40000e-01,7.654635e-10,1.744428e-08,8.573597e-10,4.743275e-04
-8.25000e-01,7.723033e-10,4.335563e-08,8.599321e-10,4.770456e-04
-8.10000e-01,7.800822e-10,2.865549e-07,8.630777e-10,4.812735e-04
-7.95000e-01,7.872648e-10,-3.586861e-08,8.659637e-10,4.833410e-04
-7.80000e-01,7.823474e-10,-4.416131e-07,8.692430e-10,4.870408e-04
-7.65000e-01,7.797610e-10,3.750729e-07,8.727333e-10,4.919509e-04
-7.50000e-01,7.900056e-10,3.628079e-07,8.755706e-10,4.962342e-04
-7.35000e-01,7.874543e-10,9.565016e-08,8.795135e-10,4.975691e-04
-7.20000e-01,7.932718e-10,5.556809e-08,8.825098e-10,5.036931e-04
-7.05000e-01,7.989803e-10,5.934426e-07,8.858783e-10,5.079117e-04
-6.90000e-01,7.958097e-10,5.168462e-07,8.891792e-10,5.086162e-04
-6.75000e-01,8.083669e-10,-1.021449e-07,8.928915e-10,5.150413e-04
-6.60000e-01,8.007209e-10,-3.737533e-08,8.962818e-10,5.183636e-04
-6.45000e-01,8.042261e-10,4.328965e-07,8.999645e-10,5.207712e-04
-6.30000e-01,8.061794e-10,1.499250e-07,9.033748e-10,5.238503e-04
-6.15000e-01,8.126819e-10,1.746543e-07,9.069870e-10,5.297781e-04
-6.00000e-01,8.173342e-10,5.661040e-07,9.108604e-10,5.307003e-04
-5.85000e-01,8.188490e-10,4.991506e-07,9.145635e-10,5.348498e-04
-5.70000e-01,8.185470e-10,-1.084467e-07,9.178636e-10,5.393233e-04
-5.55000e-01,8.241804e-10,2.432456e-07,9.216236e-10,5.460489e-04
-5.40000e-01,8.265871e-10,2.969459e-07,9.260031e-10,5.514560e-04
-5.25000e-01,8.334844e-10,8.165126e-07,9.296211e-10,5.534322e-04
-5.10000e-01,8.376018e-10,2.974364e-09,9.332353e-10,5.570202e-04
-4.95000e-01,8.352505e-10,2.172327e-07,9.375486e-10,5.672515e-04
-4.80000e-01,8.459146e-10,8.644880e-08,9.415785e-10,5.666154e-04
-4.65000e-01,8.401297e-10,-8.057629e-08,9.457009e-10,5.717786e-04
-4.50000e-01,8.415946e-10,-7.610275e-09,9.494620e-10,5.776248e-04
-4.35000e-01,8.511188e-10,-4.386185e-07,9.539064e-10,5.824469e-04
-4.20000e-01,8.519470e-10,2.446467e-07,9.584455e-10,5.880677e-04
-4.05000e-01,8.612644e-10,2.948573e-07,9.622344e-10,5.916863e-04
-3.90000e-01,8.612144e-10,-5.624530e-08,9.671296e-10,5.991830e-04
-3.75000e-01,8.596659e-10,1.956742e-07,9.712511e-10,6.063370e-04
-3.60000e-01,8.691377e-10,-2.991927e-07,9.761972e-10,6.089297e-04
-3.45000e-01,8.724489e-10,2.695434e-07,9.803677e-10,6.166450e-04
-3.30000e-01,8.770648e-10,3.998370e-07,9.850627e-10,6.193311e-04
-3.15000e-01,8.742505e-10,2.510320e-07,9.892732e-10,6.253586e-04
-3.00000e-01,8.889325e-10,1.316640e-07,9.941022e-10,6.330325e-04
-2.85000e-01,8.899341e-10,-1.681771e-07,9.992992e-10,6.356060e-04
-2.70000e-01,8.907721e-10,3.766486e-08,1.004370e-09,6.438491e-04
-2.55000e-01,8.916985e-10,1.442076e-07,1.009145e-09,6.500920e-04
-2.40000e-01,8.988004e-10,-1.404611e-07,1.014385e-09,6.552464e-04
-2.25000e-01,8.990915e-10,7.065607e-07,1.019431e-09,6.623875e-04
-2.10000e-01,9.051347e-10,2.221394e-07,1.024330e-09,6.689704e-04
-1.95000e-01,9.166307e-10,1.734181e-07,1.029917e-09,6.733701e-04
-1.80000e-01,9.167799e-10,1.995660e-08,1.035162e-09,6.826810e-04
-1.65000e-01,9.223076e-10,2.351083e-07,1.040874e-09,6.914302e-04
-1.50000e-01,9.288626e-10,2.783219e-07,1.046325e-09,6.975112e-04
