Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_1M,Conductivity_1M
-1.87500e+00,6.224453e-10,2.396791e-07,6.920107e-10,-1.341091e-09,7.296465e-10,3.504189e-04
-1.86000e+00,6.370086e-10,1.705427e-07,6.909194e-10,4.291846e-07,7.318313e-10,3.517397e-04
-1.84500e+00,6.390624e-10,-1.604989e-08,6.898894e-10,3.673684e-07,7.339840e-10,3.549427e-04
-1.83000e+00,7.322771e-10,-1.404406e-07,6.964509e-10,3.968829e-07,7.354694e-10,3.568160e-04
-1.81500e+00,7.142761e-10,4.437260e-08,6.956476e-10,6.341947e-08,7.375364e-10,3.589029e-04
-1.80000e+00,7.358751e-10,4.249459e-09,7.015953e-10,-9.838187e-08,7.398705e-10,3.619119e-04
-1.78500e+00,7.009175e-10,-3.110295e-07,7.087071e-10,-5.552719e-07,7.413851e-10,3.630566e-04
-1.77000e+00,6.703601e-10,2.576249e-07,7.002504e-10,2.533085e-07,7.438376e-10,3.638407e-04
-1.75500e+00,7.226948e-10,8.744910e-08,7.110789e-10,-3.033117e-07,7.456687e-10,3.655792e-04
-1.74000e+00,7.210198e-10,-1.455705e-07,7.047455e-10,5.404382e-08,7.480354e-10,3.693399e-04
-1.72500e+00,7.024015e-10,6.283034e-08,7.069273e-10,2.019304e-07,7.498977e-10,3.687994e-04
-1.71000e+00,7.379785e-10,-1.083495e-07,7.168130e-10,9.182357e-09,7.519319e-10,3.723313e-04
-1.69500e+00,6.975873e-10,1.198725e-07,7.218636e-10,3.200664e-08,7.542152e-10,3.734438e-04
-1.68000e+00,7.082232e-10,-4.154115e-08,7.208344e-10,3.710853e-08,7.562925e-10,3.760381e-04
-1.66500e+00,7.246835e-10,1.685961e-07,7.193319e-10,3.098272e-07,7.583543e-10,3.777750e-04
-1.65000e+00,7.207572e-10,1.059962e-07,7.198193e-10,-5.584875e-08,7.604805e-10,3.827892e-04
-1.63500e+00,7.208346e-10,1.384375e-07,7.317955e-10,4.046195e-08,7.627727e-10,3.838268e-04
-1.62000e+00,7.204556e-10,2.669712e-08,7.286008e-10,3.590409e-07,7.653915e-10,3.844187e-04
-1.60500e+00,7.219734e-10,-2.672509e-07,7.258958e-10,-6.794454e-08,7.675159e-10,3.874066e-04
-1.59000e+00,7.131695e-10,5.394498e-08,7.312606e-10,2.970031e-07,7.693342e-10,3.866106e-04
-1.57500e+00,7.466900e-10,3.625837e-08,7.375535e-10,-6.832404e-08,7.719482e-10,3.889999e-04
-1.56000e+00,6.672136e-10,-6.117413e-08,7.373451e-10,-1.643697e-07,7.743461e-10,3.932246e-04
-1.54500e+00,6.897810e-10,4.573218e-08,7.432742e-10,9.145614e-08,7.763479e-10,3.952114e-04
-1.53000e+00,7.277996e-10,7.256889e-08,7.503073e-10,5.655356e-07,7.784676e-10,3.966565e-04
-1.51500e+00,6.911888e-10,-2.766124e-08,7.440531e-10,4.297212e-07,7.807112e-10,3.996626e-04
-1.50000e+00,7.426307e-10,-1.509761e-08,7.514295e-10,2.277002e-07,7.833190e-10,4.025488e-04
-1.48500e+00,7.384479e-10,-2.751280e-07,7.549150e-10,2.175076e-07,7.851275e-10,4.043331e-04
-1.47000e+00,7.168546e-10,6.143428e-08,7.525446e-10,-2.769924e-07,7.878985e-10,4.061957e-04
-1.45500e+00,7.133198e-10,4.582563e-08,7.577375e-10,1.389497e-07,7.905272e-10,4.094946e-04
-1.44000e+00,7.616630e-10,-2.409625e-08,7.565028e-10,7.458547e-07,7.927253e-10,4.126101e-04
-1.42500e+00,7.132765e-10,-1.103093e-08,7.600563e-10,3.349846e-07,7.950409e-10,4.124860e-04
-1.41000e+00,7.701695e-10,1.403922e-07,7.670915e-10,-7.224831e-08,7.976926e-10,4.149312e-04
-1.39500e+00,7.506658e-10,-2.544745e-07,7.725802e-10,8.855492e-08,8.001200e-10,4.202381e-04
-1.38000e+00,8.048083e-10,-1.849884e-08,7.780360e-10,4.473164e-07,8.029607e-10,4.213739e-04
-1.36500e+00,7.544380e-10,-1.919959e-07,7.803306e-10,9.497820e-08,8.055237e-10,4.225514e-04
-1.35000e+00,7.433251e-10,5.315505e-08,7.780263e-10,-2.606962e-08,8.078055e-10,4.257942e-04
